ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,338.8545232273839,300.85615321923393,9.517929910350448,1
1,2,108.8242097147263,262.39051657671547,23.419429452582882,2
1,3,316.35955056179773,158.99933906146728,22.83046926635823,3
1,4,105.5,273.5,22.0,4
1,5,189.17441860465115,197.00232558139535,26.804651162790698,5
1,6,110.0,274.0,24.0,6
1,7,194.05648535564853,186.18410041841005,28.257322175732217,7
1,8,192.0,199.0,25.0,8
1,9,94.16274509803921,261.2647058823529,28.429411764705883,9
1,10,192.48322663252242,92.16773367477593,31.87810499359795,10
1,11,192.0,201.0,27.0,11
1,12,264.18585918854416,336.73836515513125,39.77237470167064,12
1,13,343.5138980807412,284.9553275976175,38.6277299801456,13
1,14,344.0,289.0,37.0,14
1,15,314.2774566473988,276.29132947976876,42.92485549132948,15
1,16,315.34444444444443,291.96666666666664,43.73888888888889,16
1,17,291.48298217179905,219.9611021069692,44.379254457050244,17
