ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,415.8577821979115,168.95698657384386,4.642715067130781,1
1,2,179.53473132372216,129.478374836173,5.263433813892529,2
1,3,409.0,231.0,3.0,3
1,4,398.0,233.0,3.0,4
1,5,412.89285714285717,241.52232142857142,5.359375,5
1,6,189.26923076923077,82.88461538461539,4.0,6
1,7,386.4493436553349,131.91114102995624,9.8296869740828,7
1,8,188.0,122.0,4.0,8
1,9,409.0,233.5,4.0,9
1,10,308.73974208675264,284.7327080890973,6.325908558030481,10
1,11,423.0,174.0,6.0,11
1,12,416.7692307692308,251.26923076923077,6.461538461538462,12
1,13,156.46069469835467,175.52102376599635,9.126142595978061,13
1,14,422.0,164.0,8.0,14
1,15,132.0,139.0,10.5,15
1,16,225.0,32.0,11.0,16
1,17,227.1875,260.1875,11.0,17
1,18,230.0,263.0,11.0,18
1,19,243.0,263.0,12.0,19
1,20,229.0,265.0,12.0,20
1,21,151.0,70.0,13.0,21
1,22,132.0,138.0,13.0,22
1,23,132.0,127.0,14.0,23
1,24,228.0,255.0,16.0,24
