ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,305.61538461538464,292.7692307692308,0.0,1
1,2,304.0,296.0,0.0,2
1,3,307.0,308.0,0.0,3
1,4,235.44311926605505,308.7844036697248,4.096024464831804,4
1,5,315.44594594594594,313.9864864864865,1.0945945945945945,5
1,6,319.0,315.0,0.0,6
1,7,246.38411405295315,348.58859470468434,2.1315682281059063,7
1,8,150.02062105773896,364.3221737020864,4.833333333333333,8
1,9,166.63064516129032,422.4129032258065,1.5403225806451613,9
1,10,280.8685665674181,436.6046363249681,8.347511697150148,10
1,11,245.87066246056781,450.82334384858046,0.917981072555205,11
1,12,320.0,310.0,2.0,12
1,13,311.0,312.0,2.0,13
1,14,149.0,433.0,3.0,14
1,15,317.0,286.0,4.0,15
1,16,321.0,303.0,4.0,16
1,17,322.0,307.5833333333333,4.0,17
1,18,322.0,311.0,4.0,18
1,19,266.0,444.0,4.0,19
1,20,313.0,290.0,5.0,20
1,21,316.0,295.0,5.0,21
1,22,296.0,428.0,5.0,22
1,23,257.0,444.0,6.0,23
1,24,264.0,446.0,6.0,24
1,25,192.33823529411765,239.9656862745098,11.154411764705882,25
1,26,139.2601652892562,408.91504132231404,14.697851239669422,26
1,27,352.07057057057057,372.2312312312312,11.055555555555555,27
1,28,338.8435093509351,399.8657865786579,14.56985698569857,28
1,29,297.0,427.0,9.0,29
1,30,261.5853658536585,442.7073170731707,9.292682926829269,30
1,31,336.0,418.0,10.0,31
1,32,264.0,442.0,10.0,32
1,33,351.0,383.0,11.0,33
1,34,300.85758377425043,401.6512345679012,16.89241622574956,34
1,35,112.04876419505678,414.25317301269206,16.413493653974616,35
1,36,80.22155688622755,424.4311377245509,15.239520958083832,36
1,37,160.0,231.0,14.0,37
1,38,376.0,309.0,14.0,38
1,39,384.0,317.0,14.0,39
1,40,343.0,399.0,14.0,40
1,41,381.0,312.0,15.0,41
1,42,407.0,316.0,15.0,42
1,43,404.0,327.0,15.0,43
1,44,301.5079268292683,265.2280487804878,18.615243902439026,44
1,45,296.8307952622673,291.1522842639594,18.744500846023687,45
1,46,392.4782608695652,309.8695652173913,16.0,46
1,47,398.5,311.0,16.0,47
1,48,391.0,321.0,16.0,48
1,49,400.5833333333333,322.75,16.0,49
1,50,405.30434782608694,323.0869565217391,16.0,50
1,51,400.9142857142857,327.51428571428573,16.0,51
1,52,407.0,327.0,16.0,52
1,53,151.5,401.0,16.0,53
1,54,177.35593220338984,216.32203389830508,17.0,54
1,55,381.5,308.5,17.0,55
1,56,390.0,309.0,17.0,56
1,57,405.0,319.0,17.0,57
1,58,409.0,332.0,17.0,58
1,59,154.0,221.0,18.0,59
1,60,309.0,263.0,20.0,60
