ImageNumber,ObjectNumber,Children_Inhibitory_Obj_Dilated_Count,Number_Object_Number
1,1,0,1
1,2,13,2
1,3,1,3
1,4,1,4
1,5,1,5
1,6,2,6
1,7,0,7
1,8,1,8
1,9,8,9
1,10,1,10
1,11,2,11
1,12,16,12
1,13,1,13
1,14,1,14
1,15,0,15
1,16,2,16
1,17,2,17
1,18,1,18
1,19,0,19
1,20,3,20
1,21,1,21
1,22,1,22
1,23,2,23
